dataset,model,seed,status,lr,batch_size,epochs_logged,best_epoch,val_metric,val_best,primary_name,secondary_name,test_ba,test_primary,test_secondary,published_value,published_std,diff,checkpoint,log
HMC,reve,seed42,done,0.0001,32,14,4,kappa,0.70978,kappa,f1,0.73388,0.68039,0.74974,0.6982,0.0078,-0.017809999999999993,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed42/hmc/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed42/vision/hmc/20260919_030147_hmc_pid3668555.log
HMC,reve,seed43,done,0.0001,32,14,4,kappa,0.71139,kappa,f1,0.7351,0.6791,0.7481,0.6982,0.0078,-0.019100000000000006,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed43/hmc/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed43/vision/hmc/20260919_033843_hmc_pid3677595.log
HMC,reve,seed44,done,0.0001,32,14,4,kappa,0.70971,kappa,f1,0.73042,0.6766,0.74609,0.6982,0.0078,-0.021600000000000064,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed44/hmc/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed44/vision/hmc/20260919_041617_hmc_pid3686879.log
HMC,reve,seed45,done,0.0001,32,14,4,kappa,0.71044,kappa,f1,0.73621,0.6844,0.75167,0.6982,0.0078,-0.013800000000000034,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed45/hmc/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed45/vision/hmc/20260919_045352_hmc_pid3696159.log
HMC,reve,seed46,done,0.0001,32,13,3,kappa,0.70963,kappa,f1,0.73606,0.68603,0.75363,0.6982,0.0078,-0.012170000000000014,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed46/hmc/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed46/vision/hmc/20260919_053107_hmc_pid3705609.log
Mumtaz2016,reve,seed42,done,0.0001,32,13,3,pr_auc,1.0,pr_auc,roc_auc,0.95153,0.99722,0.9971,0.9961,0.0013,0.0011200000000000099,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed42/mumtaz2016/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed42/vision/mumtaz2016/20260918_105356_mumtaz2016_pid3380476.log
Mumtaz2016,reve,seed43,done,0.0001,32,13,3,pr_auc,1.0,pr_auc,roc_auc,0.93317,0.99468,0.99455,0.9961,0.0013,-0.0014199999999999768,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed43/mumtaz2016/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed43/vision/mumtaz2016/20260918_105731_mumtaz2016_pid3381777.log
Mumtaz2016,reve,seed44,done,0.0001,32,27,17,pr_auc,1.0,pr_auc,roc_auc,0.91243,0.98393,0.98235,0.9961,0.0013,-0.012170000000000014,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed44/mumtaz2016/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed44/vision/mumtaz2016/20260918_110106_mumtaz2016_pid3383406.log
Mumtaz2016,reve,seed45,done,0.0001,32,13,3,pr_auc,1.0,pr_auc,roc_auc,0.91141,0.98486,0.98243,0.9961,0.0013,-0.011240000000000028,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed45/mumtaz2016/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed45/vision/mumtaz2016/20260918_110817_mumtaz2016_pid3385466.log
Mumtaz2016,reve,seed46,done,0.0001,32,12,2,pr_auc,0.99999,pr_auc,roc_auc,0.91806,0.99527,0.99463,0.9961,0.0013,-0.0008299999999999974,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed46/mumtaz2016/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed46/vision/mumtaz2016/20260918_111150_mumtaz2016_pid3386517.log
PhysioNet-MI,reve,seed42,done,0.0001,32,26,16,kappa,0.50559,kappa,f1,0.69767,0.59695,0.69808,0.5306,0.0187,0.06635000000000002,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed42/physionet_mi/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed42/vision/physionet_mi/20260919_021031_physionet_mi_pid3655302.log
PhysioNet-MI,reve,seed43,done,0.0001,32,14,4,kappa,0.5071,kappa,f1,0.69549,0.594,0.69571,0.5306,0.0187,0.06340000000000001,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed43/physionet_mi/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed43/vision/physionet_mi/20260919_021839_physionet_mi_pid3657301.log
PhysioNet-MI,reve,seed44,done,0.0001,32,30,20,kappa,0.50326,kappa,f1,0.69547,0.59399,0.69638,0.5306,0.0187,0.06339000000000006,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed44/physionet_mi/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed44/vision/physionet_mi/20260919_022300_physionet_mi_pid3658397.log
PhysioNet-MI,reve,seed45,done,0.0001,32,20,10,kappa,0.50789,kappa,f1,0.68491,0.57993,0.68491,0.5306,0.0187,0.049329999999999985,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed45/physionet_mi/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed45/vision/physionet_mi/20260919_023218_physionet_mi_pid3660813.log
PhysioNet-MI,reve,seed46,done,0.0001,32,16,6,kappa,0.50713,kappa,f1,0.68438,0.5792,0.68347,0.5306,0.0187,0.04860000000000009,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed46/physionet_mi/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed46/vision/physionet_mi/20260919_023836_physionet_mi_pid3662383.log
TUAB,reve,seed42,done,0.0001,32,10,4,pr_auc,0.92134,pr_auc,roc_auc,0.79741,0.87573,0.8739,0.9281,0.0009,-0.05237000000000003,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed42/tuab/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed42/vision/tuab/20260918_113953_tuab_pid3399076.log
TUAB,reve,seed43,done,0.0001,32,10,3,pr_auc,0.91929,pr_auc,roc_auc,0.80878,0.88252,0.88197,0.9281,0.0009,-0.045580000000000065,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed43/tuab/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed43/vision/tuab/20260918_133307_tuab_pid3431422.log
TUAB,reve,seed44,done,0.0001,32,10,4,pr_auc,0.92189,pr_auc,roc_auc,0.80355,0.88177,0.87851,0.9281,0.0009,-0.04632999999999998,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed44/tuab/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed44/vision/tuab/20260918_151527_tuab_pid3459893.log
TUAB,reve,seed45,done,0.0001,32,10,3,pr_auc,0.91762,pr_auc,roc_auc,0.81255,0.88168,0.88303,0.9281,0.0009,-0.04642000000000002,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed45/tuab/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed45/vision/tuab/20260918_165225_tuab_pid3489596.log
TUAB,reve,seed46,done,0.0001,32,10,1,pr_auc,0.9228,pr_auc,roc_auc,0.80949,0.89473,0.88755,0.9281,0.0009,-0.03337000000000001,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed46/tuab/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed46/vision/tuab/20260918_182825_tuab_pid3519968.log
